codigo_negocio,entidad,nombre,subtipo,aum,inversionistas,n_clases,rent_anual_med,clase_principal,valor_unidad_operaciones,cat_nombre,aum_bn_cop
120833,"""Caja Social""",CORTO PLAZO FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA,FIC DE TIPO GENERAL,83438575279.82,14372,1,7.921815,800,11797.364332,RF_CORTO,83.4
127889,Corredores Davivienda S.A.Comisionista De Bolsa,FONDO DE INVERSIÓN COLECTIVA CERRADO IMPULSO IA CAPITAL PROTEGIDO,FIC DE TIPO GENERAL,83220634787.23999,283,2,0.0,502,10413.917523,SIN_CLASIFICAR,83.2
108529,Fiduciaria Sura S.A.,FIC SURA ULTRACASH COLOMBIA,FIC DE TIPO GENERAL,81412461373.04999,248,4,8.836304,504,15164.610337,RF_CORTO,81.4
61653,"""Caja Social""",RENDIR FONDO DE INVERSION COLECTIVA ABIERTO,FIC DE TIPO GENERAL,81347740061.47,5978,1,7.948654,800,23055.699333,SIN_CLASIFICAR,81.3
95356,Corredores Davivienda S.A.Comisionista De Bolsa,CERRADO FACTURAS 120,FIC DE TIPO GENERAL,77798095783.78,1047,1,9.141898,501,16447.019194,SIN_CLASIFICAR,77.8
105784,Bbva Asset Management S.A. Sociedad Fiduciaria,FIC MULTIESTRATEGIA EQUILIBRIO,FIC DE TIPO GENERAL,77277704041.66,14412,1,13.489442,501,16333.792567,MIXTO,77.3
9792,"Fiduciaria Davivienda S.A. Pudiendo Utilizar La Sigla ""Fidudavivienda S.A.""",FONDO DE INVERSION COLECTIVA DAVIPLUS RENTA FIJA PESOS,FIC DE TIPO GENERAL,76317975612.32,3775,1,7.427236,800,28447.290456,RF_LARGO,76.3
129895,Fiduaval,FONDO DE INVERSIÓN COLECTIVA ABIERTO CON PACTO DE PERMANENCIA ALTARENTA,FIC DE TIPO GENERAL,75613063412.79001,1892,2,8.245899999999999,524,18126.990795,RF_LARGO,75.6
124437,Fiduciaria Sura S.A.,FONDO DE INVERSION COLECTIVA CERRADO DENOMINADO SURA CREDITO PRIVADO V,FIC DE TIPO GENERAL,73666548022.13,541,3,11.971228,501,11541.742831,RF_LARGO,73.7
93625,Valores Bancolombia S.A. Comisionista De Bolsa,FONDO DE INVERSION COLECTIVA ABIERTO RENTA FUTURO,FIC DE TIPO GENERAL,70116852073.73,905,1,9.38385,803,15312.683534,SIN_CLASIFICAR,70.1
115128,Acciones Y Valores S.A.  Comisionistas De Bolsa,FIC ABIERTO ACCICUENTA MAYOR RIESGO,FIC DE TIPO GENERAL,69033397486.58,24748,1,20.736794,800,16241.040756,SIN_CLASIFICAR,69.0
126453,Bbva Asset Management S.A. Sociedad Fiduciaria,FIC CERRADO CON CAPITAL PROTEGIDO OPORTUNIDAD+ ACCIONES GLOBALES,FIC DE TIPO GENERAL,68342942968.57,472,1,11.586531,501,11318.252082,RV_INTL,68.3
93198,Credicorp Capital,CREDICORP CAPITAL DOLAR EFECTIVO,FIC DE TIPO GENERAL,66319915706.65,410,2,-17.536780999999998,800,10449.376582,INTL_OTRO,66.3
116926,Alianza Fiduciaria S.A.,FONDO CERRADO ALIANZA ALTERNATIVOS LOCAL MEDIANO PLAZO 5 AÑOS,FIC DE TIPO GENERAL,65892353312.579994,251,7,13.050407,506,12529.157793,RF_LARGO,65.9
131893,Fiduaval,FONDO BURSÁTIL GLOBAL X TES COLOMBIA COP GBI EM ID ETF,FIC BURSATILES,65176031487.1909,1339,1,8.553822,800,59250.937716,RV_INTL,65.2
135946,Acciones Y Valores S.A.  Comisionistas De Bolsa,FIC RENTA FIJA CERRADO 12M PLUS,FIC DE TIPO GENERAL,64193103594.14,5249,1,0.0,800,10188.284071,RF_LARGO,64.2
